name,brand,price,old_price
"Casti audio In-Ear Philips, TAE4105BK/00, cu fir, Microfon, Negru",PHILIPS,99.9,
"Casti audio In-Ear Xiaomi Redmi Buds 3 Pro, True Wireless, Bluetooth, Microfon, Noise Cancelling, gri",Xiaomi,299.9,
"Casti audio In-Ear Xiaomi Redmi Buds 3 Pro, True Wireless, Bluetooth, Microfon, Noise Cancelling, negru",Xiaomi,299.9,
"Casti audio Bluetooth In Ear JBL Tune 110, Wireless, Bluetooth, Autonomie 6 ore, Alb",JBL,129.9,
"Casti audio Bluetooth In Ear JBL Tune 110, Wireless, Bluetooth, Autonomie 6 ore, Gri",JBL,129.9,
"Casti audio Bluetooth In Ear JBL Tune 110, Wireless, Bluetooth, Autonomie 6 ore, Negru",JBL,129.9,
"Casti in ear Sony WIC200B, Wireless, Bluetooth, Negru",Sony,99.9,"129,90"
"Casti stereo Fiesta FISEMW10, USB de tip C, alb",Fiesta,24.9,
Casti stereo Fiesta FISEMW20 cu conector Lightning alb,Fiesta,24.9,
"Casti in-ear Sbox EP-003, White",sBox,14.9,
"Casti in-ear Sbox EP-003, Blue",sBox,14.9,
"Casti in-ear Sbox EP-003, Black",sBox,14.9,
"Casti bluetooth Samsung Galaxy Buds2, Alb",Samsung,599.9,
"Casti bluetooth Samsung Galaxy Buds2, Negru",Samsung,599.9,
"Baterie externa Hama Supreme 20HD, 20000 mAh, Negru",Hama,159.9,
"Baterie externa Hama Fabric 10, 10000 mAh, Rosu",Hama,69.9,
"Baterie externa Hama ALU15HD, 15000mAh, Gri",Hama,119.9,
"Baterie externa Hama Fabric 10, 10000 mAh, Negru",Hama,69.9,
"Smartphone Samsung Galaxy S9, 64 GB, Reconditionat, Negru",Samsung,1349.9,
"Smartphone Apple iPhone 11, 64 GB, Reconditionat, Negru",Apple,2599.9,
"Smartphone Apple Iphone XS, 64 GB, Reconditionat, Gri",Apple,2279.9,
"Smartphone Apple Iphone 8+, 64 GB, Reconditionat, Space Grey",Apple,1759.9,
"Smartphone Apple Iphone 8, 64 GB, Reconditionat, Space Grey",Apple,1149.9,
"Smartphone Apple Iphone 7, 32 GB, Reconditionat, Space Grey",Apple,849.9,
"Smartwatch E-boda T200, Dark Sand",E-BODA,199.9,
"Sterilizator UV Poss PSSB01WH, pentru telefoane mobile",,99.9,
"Incarcator wireless Hama QI-FC10, set 2 bucati, Negru",Hama,79.9,
"Casti audio In-Ear Hama Voice Sport, Bluetooth 4.2, Microfon, Ear hook, Negru/Argintiu",Hama,34.9,"39,90"
"Smartwatch Samsung Watch 4 SM-R860NZDAEUE, 40mm, Android, Pink Gold",Samsung,1049.9,"1.099,90"
"Smartwatch Samsung Watch 4 SM-R870NZKAEUE, 44mm, Android, Black",Samsung,1179.9,"1.299,90"
"Smartphone Huawei NOVA 9, 128GB, 8GB Ram, 4G, Black",Huawei,2499.9,
"Smartphone Huawei NOVA 8i, 128GB, 6GB Ram, 4G, Black",Huawei,1499.9,
"Smartphone Samsung A03, 32GB, 3GB Ram,4G, Black",Huawei,799.9,
"Smartphone Samsung A03, 32GB, 3GB Ram, 4G, White",Samsung,799.9,
"Smartphone Samsung A03, 32GB, 3GB Ram, 4G, Blue",Samsung,799.9,
"Cablu spiralat pentru telefon Tellur TLL155394, incarcare/sincronizare, USB to Micro USB, 2A, 1.8m, Negru",Tellur,28.9,
"Cablu spiralat pentru telefon Tellur TLL155395, incarcare/sincronizare, USB to Type-C, 3A, 1.8m, Negru",Tellur,28.9,
"Cablu spiralat pentru telefon Tellur TLL155396, incarcare/sincronizare, USB to Lightning, 3A, 1.8m, Negru",Tellur,32.9,
"Telefon mobil Samsung Galaxy A12, 32GB, 3GB RAM, Nacho Black",Samsung,849.9,
"Telefon mobil Samsung Galaxy A12, 64GB, 4GB RAM, Nacho Blue",Samsung,949.9,
"Telefon mobil Samsung Galaxy A12, 64GB, 4GB RAM, Nacho Black",Samsung,949.9,
"Telefon mobil Samsung Galaxy A12, 32GB, 3GB RAM, Nacho Blue",Samsung,849.9,
"Telefon mobil Samsung Galaxy A12, 32GB, 3GB RAM, Nacho White",Samsung,849.9,
"Telefon mobil Samsung Galaxy A52S, 5G, 128GB, 6GB RAM, Black",Samsung,2099.9,
"Casti In-Ear Sony MDREX15APB, Cu fir, Negru",,59.9,
"Casti Audio in ear JBL Tune 110, Cu fir, Negru",JBL,49.9,
"Casti Audio in ear JBL Tune 110, Cu fir, Albastru",JBL,49.9,
"Casti audio pentru copii Philips SHK2000BL/00, cu fir, Albastru",,99.9,
"Casti audio pentru copii Philips SHK2000PK/00, cu fir, Roz",PHILIPS,99.9,
"Casti bluetooth New One TW80, True wireless, Negru",,79.9,
"Casti bluetooth Poss PSTWS219, True wireless, Negru",Poss,49.9,
"Casti bluetooth McDodo HP5300, True wireless, Alb",,139.9,
"Tripod flexibil pentru mobil, Omega OT01, 3.5""-6"", rotativ 360 grade, Negru",,19.9,
"Smartphone Allview Soul X7 Pro, Dual SIM, 64GB, 4G, Negru",Allview,899.9,
"Casti pentru copii On-ear JBL JR310BT, Bluetooth, Microfon, Rosu",JBL,199.9,
"Cablu USB Sbox USB-A/Mini USB, 2m, Negru",,12.9,
"Cablu USB Sbox Type-C M/M, 1.5m, Alb",,39.9,
"Casti bluetooth Huawei FreeBuds 4 Hero, True wireless, Silver Frost",Huawei,649.9,
"Casti bluetooth Huawei FreeBuds 4 Hero, True wireless, Ceramic White",Huawei,649.9,
